,repository_name,language
635,Azure-Dev-Experience-developer-environment-options,Python
636,azure-devops-analytics,TSQL
637,azure-devops-auth-samples,JavaScript
638,azure-devops-dotnet-samples,C#
639,azure-devops-engineering-extensions,TypeScript
640,azure-devops-extension-add-fields-with-refname,JavaScript
641,azure-devops-extension-api,TypeScript
642,azure-devops-extension-cascading-picklist,TypeScript
643,azure-devops-extension-hot-reload-and-debug,TypeScript
644,azure-devops-extension-sample,TypeScript
645,azure-devops-extension-sdk,TypeScript
646,azure-devops-extension-tasks,TypeScript
647,azure-devops-extension-yeoman-generator,TypeScript
648,azure-devops-go-api,Go
649,azure-devops-intellij,Java
650,azure-devops-mcp,TypeScript
651,azure-devops-node-api,TypeScript
652,azure-devops-python-api,Python
653,azure-devops-python-samples,Python
654,azure-devops-rust-api,Rust
655,azure-devops-symbols,TypeScript
656,azure-devops-tls12,PowerShell
657,azure-devops-ui-public,
658,azure-devops-wit-client-om-migration-guide,C#
659,Azure-DevOps-YAML-for-Unity,
660,azure-digital-twins-code-samples,
661,azure-digital-twins-java,Java
662,azure-digital-twins-postman-samples,
663,Azure-Edge-Solutions-Lab,Python
664,Azure-Employee-Network-Graph-Solution-Accelerator-with-MGDC,Jupyter Notebook
665,azure-gaming-devops,
666,azure-genai-design-patterns,Python
667,azure-gradle-plugins,Java
668,azure-grpc-telemetry-pipeline,HCL
669,azure-health-AI-services-samples,
670,azure-health-data-services-toolkit,C#
671,azure-health-data-services-workshop,Bicep
672,Azure-ILB-hairpin,
673,Azure-Integration-Reports,
674,Azure-Invoice-Process-Automation-Solution-Accelerator,
675,azure-iot-central-esp32-sample,C++
676,azure-iot-developer-kit,
677,azure-iot-edge-cv-model-samples,Python
678,azure-iot-edge-jenkins-plugin,Java
679,azure-iot-edge-vsts-extension,JavaScript
680,azure-iothub-exporter,Go
681,Azure-Key-Vault-Plugin-gMSA,Smarty
682,Azure-Kinect-Samples,C
683,Azure-Kinect-Sensor-SDK,C++
684,azure-kms,
685,azure-linux-automation,PowerShell
686,azure-linux-image-tools,Go
687,azure-linux-kernel,
688,azure-load-testing,
689,Azure-Managed-Instance-Link,PowerShell
690,azure-maven-archetypes,Scala
691,azure-maven-plugins,Java
692,azure-media-redactor-visualizer,C#
693,azure-mobile-apps-with-ionic,JavaScript
694,azure-netapp-files,
695,azure-nodejs-logpoints-docs,
696,Azure-Non-Fungible-Token-Solution-Accelerator,C#
697,Azure-ODSPMarketplace,
698,azure-openai-in-a-day-workshop,Jupyter Notebook
699,azure-openai-landing-zone,
700,azure-openai-service-proxy,C#
701,azure-oracle,HCL
702,azure-orbital-space-sdk,Shell
703,azure-orbital-space-sdk-app-healthcheck,C#
704,azure-orbital-space-sdk-client,C#
705,azure-orbital-space-sdk-core,C#
706,azure-orbital-space-sdk-coresvc-fileserver,Shell
707,azure-orbital-space-sdk-coresvc-registry,Dockerfile
708,azure-orbital-space-sdk-coresvc-switchboard,Dockerfile
709,azure-orbital-space-sdk-data-generators,C#
710,azure-orbital-space-sdk-github-actions,Shell
711,azure-orbital-space-sdk-hostsvc-link,C#
712,azure-orbital-space-sdk-hostsvc-logging,C#
713,azure-orbital-space-sdk-hostsvc-position,C#
714,azure-orbital-space-sdk-hostsvc-sensor,C#
715,azure-orbital-space-sdk-platform-deployment,C#
716,azure-orbital-space-sdk-platform-mts,C#
717,azure-orbital-space-sdk-setup,Shell
718,azure-orbital-space-sdk-vth,C#
719,Azure-PaaS-ChefClient,PowerShell
720,Azure-PDF-Form-Processing-Automation-Solution-Accelerator,Bicep
721,azure-percept-advanced-development,C++
722,Azure-Percept-Devkit-Private-Preview,Shell
723,Azure-Percept-Reference-Solutions,Python
724,azure-pipelines-agent,C#
725,azure-pipelines-agent-cookbook,Ruby
726,azure-pipelines-agent-macos-cookbook,Ruby
727,azure-pipelines-artifact-caching-tasks,TypeScript
728,azure-pipelines-coveragepublisher,C#
729,azure-pipelines-ephemeral-agents,TypeScript
730,azure-pipelines-evaluate-artifact-policies,C#
731,azure-pipelines-extensions,PowerShell
732,azure-pipelines-image-generation,
733,azure-pipelines-language-server,TypeScript
734,azure-pipelines-orchestrator,C#
735,azure-pipelines-servicenow-app,
736,azure-pipelines-task-lib,TypeScript
737,azure-pipelines-tasks,TypeScript
738,azure-pipelines-tasks-common-packages,TypeScript
739,azure-pipelines-tasks-coverage-tools,TypeScript
740,azure-pipelines-terraform,TypeScript
741,azure-pipelines-tool-lib,TypeScript
742,azure-pipelines-vscode,TypeScript
743,azure-pipelines-yaml,
744,azure-powershell,
745,azure-privacy-sandbox-kms,TypeScript
746,Azure-Proactive-Resiliency-Library-v2-dev-tools,
747,azure-puppet,Ruby
748,Azure-Pyday,
749,azure-python-redis-queue-processor,Python
750,azure-quantum-parity-readout,Python
751,azure-quantum-python,Python
752,azure-quantum-tgp,Python
753,Azure-RACI-Toolkit,
754,azure-realtime-fraud-detection,Jupyter Notebook
755,azure-redcap-paas,Bicep
756,azure-repos-pr-multi-cherry-pick,TypeScript
757,azure-repos-vscode,TypeScript
758,azure-resource-provider-sdk,
759,azure-rest-api-specs,TypeScript
760,azure-rest-api-specs-meja,
761,azure-rest-api-specs1,
762,azure-rest-api-specs_2024-03-01,
763,azure-roles,PowerShell
764,azure-schema-operator,Go
765,azure-sdk-for-js,
766,azure-sdk-for-net-ace,
767,azure-search-openai-demo-exp,
768,azure-search-query-classification,Python
769,Azure-Secure-Enclave-for-Research,Bicep
770,Azure-Security-Center,PowerShell
771,Azure-Services-Explorer,Java
772,azure-shortcuts-for-java,Java
773,Azure-Social-Media-Analytics-Solution-Accelerator,Jupyter Notebook
774,azure-software-radio,
775,azure-software-radio-hello-world,
776,Azure-Solution-Accelerator-Customer-Complaint-Management,Jupyter Notebook
777,Azure-Solution-Accelerator-to-automate-COVID-19-Vaccination-Proof-and-Test-Verification-Forms,
778,azure-spark-java-sdk,Java
